연번,자치구,센터명,소재지도로명주소,센터장,현원,정원,종사자,전화번호,데이터기준일자
29,서구,다사랑지역아동센터,"광주광역시 동림2지구길 15, 1층(동천동, 퀸즈빌) ",하민숙,32,34,3,062-512-1517,2024-01-15
30,서구,동그라미지역아동센터,광주광역시 쌍촌로 15번길7 (쌍촌동),김정숙,25,25,2,062-527-1177,2024-01-15
31,서구,동천지역아동센터,"광주광역시 동림2지구길 43-3, 102호(동천동) ",황지영,29,29,2,070-8191-2673,2024-01-15
32,서구,동화나라지역아동센터,"광주광역시 학생독립로 10번길 4, 2층(화정동)",신민희,30,31,3,062-434-7982,2024-01-15
33,서구,뜰지역아동센터,광주광역시 운천로 100번길 16(쌍촌동),김만옥,32,33,3,062-385-3835,2024-01-15
34,서구,맨투맨지역아동센터,광주광역시 상무대로1014번길 44(화정동),김서환,39,40,3,062-385-0910,2024-01-15
35,서구,무지개지역아동센터,광주광역시 금화로 103번길 7(금호동),박상지,24,25,2,062-373-5660,2024-01-15
36,서구,벧엘지역아동센터,"광주광역시 동천로18번길 19, 307동 102호(동천마을3단지휴먼시아)",조미정,28,28,2,070-8191-2673,2024-01-15
37,서구,보물섬지역아동센터,"광주광역시 쌍촌로6, 2층(쌍촌동)",김정우,21,23,2,062-376-6039,2024-01-15
38,서구,브니엘지역아동센터,광주광역시 천변좌로108번길 5(양동),박월양,32,33,3,062-352-3927,2024-01-15
39,서구,비젼스쿨지역아동센터,광주광역시 광천시장길 2(광천동),이인순,35,35,3,062-373-3374,2024-01-15
40,서구,샬롬지역아동센터,"광주광역시 동천로 18번길 19, 306동 103호(동천마을3단지휴먼시아)",김찬욱,25,25,2,070-8191-2673,2024-01-15
41,서구,새희망지역아동센터,광주광역시 금화로 486(농성동),신상호,16,19,2,062-362-8858,2024-01-15
42,서구,샘솟는지역아동센터,"광주광역시 금호운천길 62, 1층(금호동)",전세은,25,27,2,070-8191-2673,2024-01-15
43,서구,서광지역아동센터,광주광역시 월드컵4강로 197번길 39-1 (쌍촌동),김소연,40,40,3,062-372-2634,2024-01-15
44,서구,서구지역아동센터,광주광역시 군분로169번길15-12(화정동),임영미,32,32,3,062-456-8281,2024-01-15
45,서구,성균관지역아동센터,광주광역시 유림로33번길 10(유촌동),김해미,25,25,2,062-512-0910,2024-01-15
46,서구,신나라지역아동센터,광주광역시 운천로 43 상가동 201호(금호동),김종엽,32,32,3,062-371-1313,2024-01-15
47,서구,쌍촌지역아동센터,광주광역시 쌍학로 43(쌍촌동),변선주,14,19,2,062-376-1136,2024-01-15
48,서구,아이들세상지역아동센터,광주광역시 독립로 193(양동),김명순,28,29,2,062-365-3255,2024-01-15
49,서구,에덴지역아동센터,광주광역시 풍암중앙로 91번길 8-28(풍암동),임미숙,31,31,3,062-652-7982,2024-01-15
50,서구,열린지역아동센터,광주광역시 화정로294번길 5-11(농성동),권의자,35,37,3,062-361-8830,2024-01-15
51,서구,예손지역아동센터,광주광역시 화정로 138번길 45-10(화정동),선점숙,31,31,3,062-372-0569,2024-01-15
52,서구,우리동네지역아동센터,광주광역시 상무대로1224번길 13(양동),김애자,34,40,3,062-364-3831,2024-01-15
53,서구,우성지역아동센터,광주광역시 염화로31번길 5(화정동),이숙희,39,40,3,062-373-0136,2024-01-15
54,서구,웃음꽃지역아동센터,광주광역시 염화로 142(화정동),정주영,20,19,2,062-373-3003,2024-01-15
55,서구,유덕지역아동센터,광주광역시 상무버들로 16번길 10(유촌동),이숙자,25,25,2,062-385-3697,2024-01-15
56,서구,은강지역아동센터,광주광역시 상무화원로 23번길5(치평동),장신혜,14,19,2,062-384-3696,2024-01-15
57,서구,자연친구지역아동센터,광주광역시 금부로99번길 7(금호동),김미란,31,35,3,062-431-1517,2024-01-15
58,서구,지구촌지역아동센터,"광주광역시 풍암순환로8,204(풍암동,호반중흥상가)",이명옥,18,19,2,062-681-0091,2024-01-15
59,서구,참사랑지역아동센터,"광주광역시 화운로194번길 7, 1.2층(화정동)",이미향,32,32,3,062-361-3399,2024-01-15
60,서구,참좋은지역아동센터,광주광역시 화운로 176번길 13-1(화정동),김소민,31,32,3,062-385-8580,2024-01-15
61,서구,풍성한지역아동센터,광주광역시 풍금로38번길 20(풍암동),최행숙,27,27,2,062-655-0908,2024-01-15
62,서구,한별지역아동센터,"광주광역시 상무공원로 112 , 제상가동 302호(치평동, 해광한신아파트)",박태수,33,35,3,062-385-0099,2024-01-15
63,서구,함께할새누리지역아동센터,광주광역시 화정로85번길 27(쌍촌동),안현,31,33,3,062-385-0413,2024-01-15
64,서구,행복지역아동센터,광주광역시 화개2로9번길 23-6(금호동),박은희,29,29,2,062-655-5008,2024-01-15
65,서구,홀더지역아동센터,광주광역시 금부로 95번길45(쌍촌동),조선임,21,25,2,062-434-7792,2024-01-15
66,서구,화정지역아동센터,"광주광역시 월드컵4강로 28번길 46,301동 106호(화정동,한양아파트)",정인선,34,40,3,062-432-6366,2024-01-15
67,남구,1318Happyzone인디고아이들지역아동센터,"광주광역시 봉선중길6, 2층",윤영주,19,19,2,062-367-1318,2024-01-15
68,남구,겨자씨지역아동센터,광주광역시 봉선로51번길 38,고연옥,26,27,2,070-8191-2673,2024-01-15
69,남구,광주YWCA지역아동센터,광주광역시 제중로46번길 1,박주례,19,19,2,062-653-8883,2024-01-15
70,남구,기린아지역아동센터,광주광역시 천변좌로566번다길 18,한은아,16,19,2,070-8191-2673,2024-01-15
71,남구,꿈자란지역아동센터,"광주광역시 봉선1로87, 107동105호(방림동,모아2차@)",정지나,18,19,2,062-671-3727,2024-01-15
72,남구,꿈터지역아동센터,광주광역시 덕림중앙1길 2-1,양근옥,16,19,2,062-365-7163,2024-01-15
73,남구,남구열린지역아동센터,"광주광역시 서동로 4, 2층",오지은,16,19,2,062-652-7772,2024-01-15
74,남구,대촌지역아동센터,광주광역시 고싸움로152번길 2,임선숙,26,26,2,062-371-5131,2024-01-15
75,남구,도담지역아동센터,광주광역시 대남대로 254,김성옥,25,25,2,070-8191-2673,2024-01-15
76,남구,동가지역아동센터,광주광역시 용대로 176-1,노미영,18,19,2,062-676-1133,2024-01-15
77,남구,멘토링지역아동센터,광주광역시 군분로130번길 5-2,강성원,16,19,2,062-430-9106,2024-01-15
78,남구,무등지역아동센터,광주광역시 군분로 32,배세욱,19,19,2,062-365-7156,2024-01-15
79,남구,무지개지역아동센터,"광주광역시 회서로52번길 19, 3층",박미아,18,19,2,062-651-6681,2024-01-15
80,남구,백운지역아동센터,광주광역시 독립로53번길 10,유성순,22,26,2,062-654-9898,2024-01-15
81,남구,보배지역아동센터,광주광역시 효덕로300번길 13,조경화,18,19,2,062-651-1003,2024-01-15
82,남구,봉선지역아동센터,광주광역시 대남대로127번길 11,윤숙희,19,19,2,062-430-4891,2024-01-15
83,남구,봉주지역아동센터,광주광역시 봉주4길 13,김인아,18,19,2,070-8191-2673,2024-01-15
84,남구,비젼지역아동센터,광주광역시 봉선로51번길 9,전경순,23,25,2,062-654-6767,2024-01-15
85,남구,빛고을지역아동센터,광주광역시 금화로446번가길 24,차은정,18,19,2,062-368-7005,2024-01-15
86,남구,사과나무지역아동센터,광주광역시 월광2길 34,김자옥,23,29,2,062-366-6301,2024-01-15
87,남구,사랑모아지역아동센터,광주광역시 군분로169번길 3,윤애순,15,19,2,062-434-6767,2024-01-15
88,남구,사직지역아동센터,"광주광역시 중앙로 58, 4층",김미화,15,19,2,062-368-8656,2024-01-15
89,남구,상록지역아동센터,광주광역시 봉선1로 31,송열,17,19,2,062-433-0690,2024-01-15
90,남구,서남지역아동센터,광주광역시 독립로 62,박소노,29,29,2,062-653-2892,2024-01-15
91,남구,소망지역아동센터,"광주광역시 대남대로 대남대로35, 3층",박숙희,18,19,2,062-674-5950,2024-01-15
92,남구,송하지역아동센터,"광주광역시 서문대로749번마길 46, 상가동 202호",김영숙,19,19,2,062-675-7014,2024-01-15
93,남구,양림지역아동센터,광주광역시 양림로 81-1,문영지,17,19,2,062-673-8785,2024-01-15
94,남구,양재지역아동센터,광주광역시 봉선중앙로118번길 32,박지영,19,19,2,062-654-9210,2024-01-15
95,남구,양지지역아동센터,광주광역시 제중로 24-10,유기웅,25,29,2,062-673-1917,2024-01-15
96,남구,예뜰지역아동센터,광주광역시 봉주길 31-1,형기해,24,25,2,062-361-9700,2024-01-15
97,남구,우등지역아동센터,광주광역시 봉선로51번길 30-12,이연숙,19,19,2,062-681-3939,2024-01-15
98,남구,월산지역아동센터,광주광역시 금화로446번길 8-1,한해춘,24,29,2,062-671-5498,2024-01-15
99,남구,월화수지역아동센터,"광주광역시 백운로 100, 광주백운3휴먼시아 관리동 3층",정민희,17,19,2,062-673-1237,2024-01-15
100,남구,정박사지역아동센터,"광주광역시 서문대로556번길 6, 송하삼익아파트 201호",오다인,18,19,2,062-673-6303,2024-01-15
101,남구,좋은친구지역아동센터,"광주광역시 서문대로 614, 신흥타운 상가동 2층 3호",오현,19,19,2,062-654-5210,2024-01-15
102,남구,지혜의다락방지역아동센터,광주광역시 서문대로749번라길 11,박윤정,26,29,2,062-676-1084,2024-01-15
103,남구,파란꿈지역아동센터,광주광역시 고싸움로164번길 21,오찬우,40,40,3,062-361-3777,2024-01-15
104,남구,파랑새지역아동센터,"광주광역시 군분로99번길 5, 제일맨션 상가동 2층 1호",김인주,19,19,2,062-432-9981,2024-01-15
105,남구,풀꽃친구지역아동센터,"광주광역시 용대로 131-1, 상가동 2층",이상은,17,19,2,062-654-7952,2024-01-15
106,남구,하나지역아동센터,"광주광역시 백양로7번길 10, 3층",배현숙,11,19,2,062-651-1116,2024-01-15
107,남구,한빛지역아동센터,광주광역시 서문대로823번길 7-18,김다혜,14,19,2,062-672-1486,2024-01-15
108,남구,한우리지역아동센터,"광주광역시 봉선중앙로 111, 모아아파트 상가동 2층",문경순,26,29,2,062-673-3060,2024-01-15
109,남구,해솔지역아동센터,광주광역시 광복마을3길 25,박혜영,25,29,2,062-653-6710,2024-01-15
110,남구,해피지역아동센터,광주광역시 봉선1로62번안길 8,김혜경,19,19,2,062-674-5536,2024-01-15
111,남구,행복한지역아동센터,광주광역시 서문대로749번가길 19,김선미,19,19,2,062-401-7179,2024-01-15
112,남구,효천해누리지역아동센터,광주광역시 신효천1길 35-8,안수연,25,25,2,062-674-8289,2024-01-15
113,남구,희망지역아동센터,광주광역시 진다리로31번길 13,김기현,15,19,2,062-653-2313,2024-01-15
114,북구,1318희망지기,"광주광역시 광주광역시 북구 향토문화로 26, 2층 (중흥동)",진선미,18,19,2,062-528-1318,2024-01-15
115,북구,LH행복꿈터광주,"광주광역시 광주광역시 북구 연양로7번길 58, 주민복지관동 (신용동, 신용주공아파트)",김혜리,18,19,2,062-574-1125,2024-01-15
116,북구,가람,"광주광역시 광주광역시 북구 서하로 314-1, 2층 (오치동)",최금주,25,29,2,070-7755-4028,2024-01-15
117,북구,각화HomeSchool,"광주광역시 광주광역시 북구 두리봉길 48, 203호 (각화동, 무등파크상가)",천옥희,19,19,2,062-267-7991,2024-01-15
118,북구,각화동,"광주광역시 광주광역시 북구 군왕로 202, 3층 (각화동)",여금숙,18,19,2,062-265-2525,2024-01-15
119,북구,건국,광주광역시 광주광역시 북구 연양로28번길 22 (연제동),김현영,16,19,2,062-574-1052,2024-01-15
120,북구,공감하는,광주광역시 광주광역시 북구 참판로 131 (두암동),김숙빈,25,26,2,062-262-9002,2024-01-15
121,북구,광생,"광주광역시 광주광역시 북구 오산정길 26, 1층 (오치동)",오성희,19,19,2,062-261-1355,2024-01-15
122,북구,광주아름다운,"광주광역시 광주광역시 북구 우치로241번길 45, 3층 (오치동)",기경자,35,36,3,062-266-9004,2024-01-15
123,북구,광주좋은이웃,"광주광역시 광주광역시 북구 금재로 27, 2층 (유동)",장미연,20,29,2,062-521-9502,2024-01-15
124,북구,군왕로,"광주광역시 광주광역시 북구 군왕로 119, 304호 (두암동, 청아아파트)",황인주,15,19,2,062-261-2491,2024-01-15
125,북구,그리심,"광주광역시 광주광역시 북구 참판로 115 , 2층(두암동)",김시온,12,19,2,062-417-1808,2024-01-15
126,북구,꽃동산,"광주광역시 광주광역시 북구 북문대로 235, 103동 102호 (동림동, 삼호가든아파트)",이보람,29,29,2,070-8758-1620,2024-01-15
127,북구,꿈꾸는아이들,"광주광역시 광주광역시 북구 하백로 13 (매곡동, 용남빌딩 4층)",박영란,21,25,2,070-4134-7942,2024-01-15
128,북구,꿈나무,"광주광역시 광주광역시 북구 경양로 65, 2층 (임동)",김선희,27,29,2,062-523-6293,2024-01-15
129,북구,꿈사랑,"광주광역시 광주광역시 북구 우치로 240-6, 2층 (오치동)",김혜원,15,16,2,062-266-8044,2024-01-15
130,북구,꿈이있는,"광주광역시 광주광역시 북구 하서로229번길 67, 2층 (양산동)",박정선,19,19,2,062-576-0073,2024-01-15
131,북구,나누리,"광주광역시 광주광역시 북구 우치로 12, 2층 (중흥동)",김가영,21,27,2,062-265-8006,2024-01-15
132,북구,나눔꿈,"광주광역시 광주광역시 북구 중문로 55-1 (우산동, 우산주공아파트 상가 116호)",김정숙,21,29,2,062-523-1030,2024-01-15
133,북구,나들목,"광주광역시 광주광역시 북구 동문대로 249번길 19, 센트럴파크 서희스타힐스 상가동 2층 (각화동)",유옥경,24,29,2,062-262-9126,2024-01-15
134,북구,나래,"광주광역시 광주광역시 북구 중문로84번길 67, 1층 (문흥동)",조란희,24,25,2,062-236-0010,2024-01-15
135,북구,늘기쁜,"광주광역시 광주광역시 북구 서방로 148, 2층 (두암동)",박지하,24,29,2,062-511-6771,2024-01-15
136,북구,늘해랑,"광주광역시 광주광역시 북구 서방로63번길 64, 1층 (우산동)",신정희,28,29,2,062-401-2646,2024-01-15
137,북구,다솜,"광주광역시 광주광역시 북구 금호로 55, 2층(운암동)",배경애,29,29,2,062-527-4279,2024-01-15
138,북구,다이아빌,"광주광역시 광주광역시 북구 서암대로 122, 3층 (신안동)",박동문,26,27,2,062-511-0933,2024-01-15
139,북구,대원,"광주광역시 광주광역시 북구 중문로84번길 43, 1~2층(문흥동)",황중원,17,19,2,062-524-1335,2024-01-15
140,북구,동그라미,"광주광역시 광주광역시 북구 북문대로33번길 27-8, 1층 (운암동)",정영이,19,19,2,062-511-6622,2024-01-15
141,북구,동암,"광주광역시 광주광역시 북구 동운로201번길 39, 2층 (운암동)",김옥수,25,29,2,062-513-5620,2024-01-15
142,북구,동운,"광주광역시 광주광역시 북구 비엔날레로13번길 46-2, 1~2층 (운암동)",이미자,14,19,2,062-515-3347,2024-01-15
143,북구,두암,광주광역시 광주광역시 북구 군왕로129번길 32 (두암동),오진,29,29,2,062-265-6777,2024-01-15
144,북구,디딤돌,"광주광역시 광주광역시 북구 삼정로 71 (두암동, 부영APT 106-101)",송화란,18,19,2,062-269-0338,2024-01-15
145,북구,맑은누리,"광주광역시 광주광역시 북구 하서로 393-9 (양산동, 동남아파트 사무동 3층 1호)",김지숙,28,29,2,062-575-2213,2024-01-15
146,북구,매곡,"광주광역시 광주광역시 북구 매곡로 85, 102호 (매곡동, 매곡프라자)",조성숙,29,29,2,062-571-1318,2024-01-15
147,북구,매곡중앙,"광주광역시 광주광역시 북구 서하로 125, 2층 (매곡동)",박성숙,28,29,2,062-571-0700,2024-01-15
148,북구,멘토,광주광역시 광주광역시 북구 호동로15번길 97 (용봉동),기회민,38,38,3,062-262-1280,2024-01-15
149,북구,모해,광주광역시 광주광역시 북구 삼정로87번길 32 (두암동),송경순,28,29,2,062-266-5004,2024-01-15
150,북구,무등클래스,"광주광역시 광주광역시 북구 무등로 282-6, 3층 (중흥동)",정은영,18,19,2,062-267-9833,2024-01-15
151,북구,무지개,"광주광역시 광주광역시 북구 유림로160번길 5, 102동 1층 (동림동, 죽림주공아파트)",김홍래,33,37,3,062-521-7043,2024-01-15
152,북구,문산,"광주광역시 광주광역시 북구 부남길8번길 6, 1층 (문흥동)",박인자,19,19,2,062-267-9488,2024-01-15
153,북구,문화,"광주광역시 광주광역시 북구 월동로 50, (두암동, 무등파크2차 상가 201호, 401호)",안희애,28,29,2,062-264-9833,2024-01-15
154,북구,문흥,"광주광역시 광주광역시 북구 면앙로89번길 30-15, 1층 (문흥동)",김지애,38,43,3,062-251-0201,2024-01-15
155,북구,문흥골,광주광역시 광주광역시 북구 부남길15번길 27 (문흥동),김현주,36,38,3,062-262-6833,2024-01-15
156,북구,문흥골아이네,광주광역시 광주광역시 북구 첨단연신로108번길 59-10 (신용동),임혜숙,23,25,2,062-267-1004,2024-01-15
157,북구,미리내,"광주광역시 광주광역시 북구 설죽로 560, 105동 104호 (일곡동, 금호타운)",김용호,24,25,2,062-464-0755,2024-01-15
158,북구,민들레,광주광역시 광주광역시 북구 석곡로 532 (망월동),김영희,17,19,2,062-266-0255,2024-01-15
159,북구,밝은마음,"광주광역시 광주광역시 북구 금호로86번길 32 (운암동, 중흥아파트 상가 202호)",박채리,21,24,2,062-521-5429,2024-01-15
160,북구,벧엘,"광주광역시 광주광역시 북구 서양로 100 (중흥동, 2층)",문순희,25,29,2,062-528-1691,2024-01-15
161,북구,보금자리,"광주광역시 광주광역시 북구 양산로71번길 39(양산동, 호반리젠시빌 상가동 301호)",이민영,21,25,2,070-4209-2535,2024-01-15
162,북구,보람,"광주광역시 광주광역시 북구 우치로 258, 3층 (오치동)",김여령,15,19,2,062-430-7145,2024-01-15
163,북구,비전,"광주광역시 광주광역시 북구 탁영로15번길 17, 3층 (두암동)",오예은,23,29,2,062-262-0060,2024-01-15
164,북구,사랑방,"광주광역시 광주광역시 북구 저불로 21, 102동 106호(용봉동, 모아미래도)",박금옥,18,19,2,062-527-7990,2024-01-15
165,북구,사임당,광주광역시 광주광역시 북구 양산택지로 100 (본촌동),전해성,19,19,2,062-572-0080,2024-01-15
166,북구,상상,"광주광역시 광주광역시 북구 임방울대로 1041번길 16, 2층",차윤님,27,27,2,062-574-1090,2024-01-15
167,북구,새생명,광주광역시 광주광역시 북구 상촌로43번길 62 (본촌동),윤진규,29,29,2,062-572-3011,2024-01-15
168,북구,샛터,"광주광역시 광주광역시 북구 서하로245번길 42, 3층 (오치동)",배경환,19,19,2,062-251-6919,2024-01-15
169,북구,서림,"광주광역시 광주광역시 북구 서림로 122, 2층 (임동)",차해영,16,19,2,062-526-6868,2024-01-15
170,북구,서머힐북구,"광주광역시 광주광역시 북구 서방로40번길 10, 2층 (중흥동)",윤수현,17,19,2,062-528-3930,2024-01-15
171,북구,서산,"광주광역시 광주광역시 북구 우치로257번길 14-7, 1층 (오치동)",김윤덕,26,27,2,062-571-7424,2024-01-15
172,북구,세계로,광주광역시 광주광역시 북구 하남대로 681-8 (동림동),민규정,36,40,3,062-522-1673,2024-01-15
173,북구,소나무,"광주광역시 광주광역시 북구 연양로20번길 6, 1층 (연제동)",나성민,19,19,2,062-573-5178,2024-01-15
174,북구,솔로몬,"광주광역시 광주광역시 북구 군왕로 69, 2층 (두암동)",김성희,14,19,2,062-263-8591,2024-01-15
175,북구,송운,"광주광역시 광주광역시 북구 문산로 65-1 (문흥동, 공간아파트 상가동 2층 204호)",김정숙,23,25,2,062-252-0909,2024-01-15
176,북구,신안,"광주광역시 광주광역시 북구 서암대로 147-2, 2층 (신안동)",정진희,19,19,2,062-522-0099,2024-01-15
177,북구,신원,"광주광역시 광주광역시 북구 문산로 27-6, 2층 (문흥동)",정진숙,46,46,3,062-262-2771,2024-01-15
178,북구,아가페,"광주광역시 광주광역시 북구 신기마을길 12, 2층 (태령동)",김은숙,20,29,2,070-8292-7149,2024-01-15
179,북구,아카데미,"광주광역시 광주광역시 북구 상촌로 26 (양산동, 우미아파트상가 203호)",김선효,19,19,2,062-432-7007,2024-01-15
180,북구,양산,"광주광역시 광주광역시 북구 연양로 42, 2층 (양산동)",박추리,22,25,2,062-574-8209,2024-01-15
181,북구,양지,"광주광역시 광주광역시 북구 자라봉로63번길 21, 2층 (양산동)",김정희,23,25,2,062-462-7203,2024-01-15
182,북구,에덴,"광주광역시 광주광역시 북구 양일로 62 (연제동, 3층)",김성자,29,29,2,062-432-5354,2024-01-15
183,북구,연제,"광주광역시 광주광역시 북구 하서로 277 (양산동, 한국아파트 상가 204호)",이춘옥,29,29,2,062-574-2241,2024-01-15
184,북구,열매,광주광역시 광주광역시 북구 송해로39번길 10-4 (삼각동),박점례,19,19,2,062-575-6354,2024-01-15
185,북구,영락,"광주광역시 광주광역시 북구 양산택지소로 30 (본촌동, 부영사랑으로 상가 301호)",이 준,22,29,2,070-8831-0021,2024-01-15
186,북구,예은,광주광역시 광주광역시 북구 군왕로168번길 50 (두암동),선은미,25,25,3,062-266-1491,2024-01-15
187,북구,예향,광주광역시 광주광역시 북구 유림로160번길 8 (동림동),서은진,33,40,3,062-514-1006,2024-01-15
188,북구,오정,"광주광역시 광주광역시 북구 송월로 46, 3층 (오치동)",오영인,27,27,2,062-266-7222,2024-01-15
189,북구,오치,"광주광역시 광주광역시 북구 설죽로320번길 25, 101동 101호 (오치동, 삼익아파트)",박병선,14,19,2,062-251-4641,2024-01-15
190,북구,옥토,"광주광역시 광주광역시 북구 면앙로121번길 84-5, 3층 (문흥동)",박인옥,25,29,2,062-265-3079,2024-01-15
191,북구,온누리,"광주광역시 광주광역시 북구 양산로71번길 33 (양산동, 호반리젠시빌 202동 105호)",김윤정,18,19,2,062-251-1708,2024-01-15
192,북구,용두,"광주광역시 광주광역시 북구 하서로483번길 45, 2층 (용두동)",김미숙,27,29,2,062-576-4183,2024-01-15
193,북구,용봉,광주광역시 광주광역시 북구 용주로30번길 16 (용봉동),한선희,36,37,3,062-526-3689,2024-01-15
194,북구,우성,"광주광역시 광주광역시 북구 면앙로32번길 1, 3층 (문흥동)",황성호,19,19,2,062-266-2675,2024-01-15
195,북구,운암,광주광역시 광주광역시 북구 비엔날레로3번길 21 (운암동),신종호,15,19,2,062-524-9202,2024-01-15
196,북구,율곡,광주광역시 광주광역시 북구 면앙로192번길 18-3 (두암동),조양원,17,19,2,062-268-1219,2024-01-15
197,북구,은총,광주광역시 광주광역시 북구 무등로27번길 11-4 (운암동),방성희,19,19,2,062-512-5350,2024-01-15
198,북구,일곡,"광주광역시 광주광역시 북구 우치로537번길 5, 104동 306호 (일곡동, 벽산아파트)",김정순,24,25,2,062-575-0567,2024-01-15
199,북구,일곡중앙,"광주광역시 광주광역시 북구 일곡로49번길 35-1, 2층 (일곡동)",이선주,23,29,2,062-573-1440,2024-01-15
200,북구,일동,"광주광역시 광주광역시 북구 일곡택지로53번길 24, 2층 (일곡동)",김혜란,25,25,2,062-575-0936,2024-01-15
201,북구,임동,광주광역시 광주광역시 북구 서림로100번길 20-12 (임동),이삼란,17,19,2,062-528-0819,2024-01-15
202,북구,재능,"광주광역시 광주광역시 북구 문산로74번길 9, 2층 (문흥동)",김향숙,18,19,2,062-263-8877,2024-01-15
203,북구,주나,광주광역시 광주광역시 북구 반룡로42번길 8 (용봉동),최형란,11,19,2,062-512-6189,2024-01-15
204,북구,주안,광주광역시 광주광역시 북구 설죽로214번길 107-8 (용봉동),김인,15,19,2,062-529-3162,2024-01-15
205,북구,중흥,"광주광역시 광주광역시 북구 서양로 75, 2층 (중흥동)",한명희,34,37,3,062-531-0982,2024-01-15
206,북구,지니공부방,"광주광역시 광주광역시 북구 중문로 90, 3층 (우산동)",정상미,25,29,2,062-529-0579,2024-01-15
207,북구,지산,광주광역시 광주광역시 북구 지야길 41-2 (지야동),노진경,17,19,2,062-571-5772,2024-01-15
208,북구,참사랑,"광주광역시 광주광역시 북구 용봉택지로 13, 1층(용봉동)",양승민,17,19,2,062-511-9933,2024-01-15
209,북구,천재,광주광역시 광주광역시 북구 천지인로 47-3 (오치동),정진휘,0,0,0,062-262-9569,2024-01-15
210,북구,청소년전용,"광주광역시 광주광역시 북구 금호로86번길 22 (운암동, 중흥파크2차 상가동 201호)",김상임,0,0,0,062-521-0596,2024-01-15
211,북구,청예단,"광주광역시 광주광역시 북구 첨단연신로 250, 2층 (신용동, 첨단1휴먼시아 관리동)",최춘진,40,40,3,062-511-1319,2024-01-15
212,북구,큰꿈,광주광역시 광주광역시 북구 대천로139번길 32 (문흥동),신웅철,39,40,3,062-251-9119,2024-01-15
213,북구,큰솔학교,"광주광역시 광주광역시 북구 첨단연신로 245, 주민복지동 2층 (신용동, 첨단2휴먼시아)",윤지영,27,28,2,070-4194-7970,2024-01-15
