연번,시군명,대상자별,시설유형,시설명,시설장,운영주체,대표자,소재지,연락처,종사자수,일일평균_이용자 수
51,포항시,아동,지역아동센터,해도 좋은이웃지역아동센터,배해정,법인,이호균,포항시 남구 중앙로 16  (해도동) ,054-282-1393,2,26
52,포항시,아동,지역아동센터,해맑은지역아동센터,김미향,개인,김미향,"포항시 북구 중앙로 212번길 21,3층  (죽도동)",054-274-3253,2,27
53,포항시,아동,지역아동센터,해맞이지역아동센터,김화선,개인,김화선,"포항시 북구 삼호로 388, 4층  (환호동)",054-231-3052,2,29
54,포항시,아동,지역아동센터,해밀지역아동센터,심옥숙,개인,박한봉,포항시 남구 상공로104번길 36-15  (대도동)  ,054-275-4065,2,19
55,포항시,아동,지역아동센터,해오름지역아동센터,장금예,개인,장금예,포항시 남구 동해면 일월로56번길 48-3   ,054-284-5857,2,26
56,포항시,아동,지역아동센터,환여동지역아동센터,정경숙,법인,이현열,포항시 북구 삼호로 474-1 (환호동),054-252-1817,2,22
57,포항시,아동,지역아동센터,흥해지역아동센터,서기숙,개인,천용희,포항시 북구 흥해읍 칠포로 330,070-4800-3919,2,16
58,포항시,아동,지역아동센터,하늘꿈지역아동센터,윤성애,개인,윤성애,포항시 북구 흥해읍 흥해로87,070-8105-3203,2,19
59,포항시,아동,지역아동센터,하나지역아동센터,백운귀,개인,백기범,포항시 북구 학전로 69-12(두호동),054-241-7110,3,30
60,포항시,아동,지역아동센터,다사랑지역아동센터,김희림,개인,김희림,포항시 남구 연일읍 연일중앙로38,054-285-2371,3,42
61,포항시,아동,지역아동센터,다정다감지역아동센터,김현주,법인,신영선,포항시 남구 상공로 56번길 34-1,054-262-6593,2,13
62,포항시,아동,지역아동센터,파란지역아동센터,이현숙,개인,박서동,포항시 남구 오천읍 원동로 3 메트로프라자 206호,054-274-3435,2,19
63,포항시,아동,지역아동센터,양서지역아동센터,안경희,개인,김종재,포항시 북구 천마로 103번길 30,054-277-3370,2,20
64,포항시,아동,지역아동센터,이룸지역아동센터,김태경,개인,송락현,"포항시 북구 삼흥로32번길 6-7, 2층 (장성동)",054-252-5232,2,14
65,경주시,아동,지역아동센터,경주용강지역아동센터,박세영,법인,이광오,경주시 승삼1길 32,054-776-8107,2,24
66,경주시,아동,지역아동센터,감포지역아동센터,이병선,법인,송준석,경주시 감포로9길 9,054-776-2100,3,34
67,경주시,아동,지역아동센터,나아지역아동센터,김재금,개인,김대철,경주시 양남면 죽전안길 27-3,054-743-9106,3,42
68,경주시,아동,지역아동센터,희망터지역아동센터,박경옥,개인,박경옥,"경주시 용담로54번길 9, 3층",054-742-3689,2,19
69,경주시,아동,지역아동센터,성동지역아동센터,황원현,개인,김중석,경주시 내남면 이조중앙길 22,054-748-1111,3,37
70,경주시,아동,지역아동센터,아란지역아동센터,김도연,법인,홍종락,경주시 동성로 25,054-743-0661,3,34
71,경주시,아동,지역아동센터,유비지역아동센터,이학수,법인,이옥기,경주시 충효5길 59-3,054-777-3145,2,28
72,경주시,아동,지역아동센터,푸르른지역아동센터,송경호,법인,송경호,경주시 동천로39번길 2,054-774-4453,3,31
73,경주시,아동,지역아동센터,원광지역아동센터,이은미,법인,오은균,경주시 안강읍 안강중앙로 51,054-763-3844,3,33
74,경주시,아동,지역아동센터,보리지역아동센터,이창심,법인,조충래,"경주시 원화로 442, 4층",054-748-4999,3,35
75,경주시,아동,지역아동센터,아화소망지역아동센터,이수영,개인,정희근,경주시 서면 아화3길 41-42,054-751-0087,2,28
76,경주시,아동,지역아동센터,양남지역아동센터,이경선,개인,김수철,경주시 양남면 하서중앙길 39-19,054-741-9009,3,35
77,경주시,아동,지역아동센터,안강지역아동센터,이미소,법인,이재익,경주시 안강읍 비화중로2길 3,054-746-8686,2,29
78,경주시,아동,지역아동센터,미래지역아동센터,이신영,개인,이신영,경주시 원지길 34-3,054-741-1104,3,33
79,경주시,아동,지역아동센터,산내지역아동센터,김영희,법인,이호석,경주시 산내면 의곡중앙길 29-14,070-8800-5783,2,25
80,경주시,아동,지역아동센터,양북지역아동센터,장현주,개인,장현주,경주시 양북면 어일중앙길 26-3,070-8683-7991,3,41
81,경주시,아동,지역아동센터,아이뜰지역아동센터,김부하,개인,김부하,경주시 윗동천길 60,054-776-0600,3,38
82,경주시,아동,지역아동센터,동방지역아동센터,정정희,개인,김혁동,"경주시 금성로 261, 2층",054-746-7796,3,31
83,경주시,아동,지역아동센터,늘푸른지역아동센터,김선명,개인,김선명,경주시 안강읍 피일길 83,054-762-6727,3,31
84,경주시,아동,지역아동센터,꿈자람지역아동센터,김인수,개인,김은진,경주시 불국사초등길 17,054-772-1210,3,32
85,경주시,아동,지역아동센터,마루지역아동센터,이옥주,개인,전무경,경주시 소금강로 41번길 16,054-772-7035,2,24
86,경주시,아동,지역아동센터,강동큰나무지역아동센터,박재현,개인,남은숙,"경주시 강동면 강동로 47-3, 강동그린빌 B동 101호",054-761-3781,2,19
87,경주시,아동,지역아동센터,현곡지역아동센터,이현숙,개인,김말복,"경주시 현곡면 용담로 177, 우남시티빌 상가 202호",054-742-5571,2,19
88,경주시,아동,지역아동센터,레인보우지역아동센터,정다운,개인,정다운,경주시 안강읍 구부랑길 54-4,054-763-0979,3,34
89,경주시,아동,지역아동센터,내남지역아동센터,이광욱,개인,문영한,"경주시 내남면 이종중앙길 38-27, 2층",070-7776-3367,2,18
90,경주시,아동,지역아동센터,건천해솔지역아동센터,김미란,개인,최원찬,경주시 건천읍 작원5길 26,054-753-3839,3,32
91,경주시,아동,지역아동센터,외동열매지역아동센터,김윤정,개인,김윤정,경주시 외동읍 입실로1길 13-24,054-741-6165,2,24
92,경주시,아동,지역아동센터,다소니지역아동센터,강은주,개인,김현경,"경주시 외동읍 모화남1길 21, 2층",054-772-9262,2,18
93,김천시,아동,지역아동센터,김천부곡지역아동센터,이현숙,법인,박석재,"김천시 문지왈길 68 (부곡동,주공2차아파트)",054-439-0161,2,29
94,김천시,아동,지역아동센터,나래지역아동센터,서미경,개인,서미경,김천시 충효길 74 (성내동)상가2층,054-439-4044,2,19
95,김천시,아동,지역아동센터,푸른꿈지역아동센터,이정미,법인,변상길,김천시 영남대로1296 (새마을금고 2층),054-436-0172,2,29
96,김천시,아동,지역아동센터,김천비손지역아동센터,유명희,개인,김종철,김천시 어모면 어모 문화3길 31-11,054-431-1177,2,25
97,김천시,아동,지역아동센터,임마누엘지역아동센터,박외숙,법인,김정숙,"김천시 한일길 17  (교동,임마누엘)",054-430-2821,2,29
98,김천시,아동,지역아동센터,성은지역아동센터,정래순,개인,박요한,김천시 구농고8길 29 (부곡동),054-430-4301,3,40
99,김천시,아동,지역아동센터,봉계지역아동센터,이현자,법인,이기락,김천시 예지1길 127번지 (봉산면),054-435-6356,2,19
100,김천시,아동,지역아동센터,도음지역아동센터,송병천,개인,송병천,김천시 양금로 244(4층) (황금동),054-433-0902,2,19
101,김천시,아동,지역아동센터,지좌행복한홈스쿨_지역아동센터,김수정,법인,서경석,김천시 체육공원길 45 (지좌동),054-436-4435,3,35
102,김천시,아동,지역아동센터,김천사랑지역아동센터,박영희,법인,김재율,김천시 황악로 1522-10 (대항면),054-437-6225,2,19
103,김천시,아동,지역아동센터,덕곡지역아동센터,송지숙,개인,백문석,김천시 무실6길 36번지 (덕곡동),054-434-9133,2,19
104,김천시,아동,지역아동센터,한마음지역아동센터,이미선,개인,이미선,김천시 아포읍 한지1길 58-4,054-810-8066,3,35
105,김천시,아동,지역아동센터,김천꿈나무지역아동센터,정연지,개인,김정옥,"김천시 우래3길 8~3, 1층",054-434-0199,2,19
106,안동시,아동,지역아동센터,안동지역아동센터,김금주,법인,권혁주,"안동시 은행나무로 106-5,3층(옥동)",054-855-0439,3,40
107,안동시,아동,지역아동센터,안동YMCA지역아동센터,유옥희,일반단체,배재일,"안동시 복주길 52, 2층(옥동)",054-857-5658,2,29
108,안동시,아동,지역아동센터,밝은세상지역아동센터,이은경,개인,이은경,"안동시 제비원로 113,2층(당북동)",054-854-7790,2,19
109,안동시,아동,지역아동센터,샘뜰지역아동센터,임혜정,민간단체,고기훈,"안동시 남선면 샘뜰윗길 58-1(용마아파트상가,2층)",054-822-0190,2,17
110,안동시,아동,지역아동센터,꿈나무지역아동센터,서영옥,일반단체,정재현,"안동시 전거리8길 47,2층(용상동)",054-823-1318,2,29
111,안동시,아동,지역아동센터,1318꿈나무지역아동센터,임경미,일반단체,남영추,안동시번영 1길 7(천리동 2층),054-856-9333,2,19
112,안동시,아동,지역아동센터,우리동네지역아동센터,백남훈,일반단체,백남훈,"안동시 단원로 95,2층(운안동)",054-857-2257,3,33
113,안동시,아동,지역아동센터,예담학교지역아동센터,이승계,일반단체,배요한,"안동시 경동로 894-1, 2층(용상동)",054-821-9800,2,27
114,안동시,아동,지역아동센터,희망샘지역아동센터,김소영,일반단체,박경구,"안동시 옥명길 89,2층 (태화동)",054-853-0421,2,18
115,안동시,아동,지역아동센터,안기꿈터지역아동센터,정경희,개인,정경희,"안동시 제비원로 219-1,2층(안기동)",054-856-1318,2,29
116,안동시,아동,지역아동센터,풍산정자지역아동센터,이지은,법인,황춘광,안동시 풍산읍 어란안길 26,054-858-3579,2,27
117,구미시,아동,지역아동센터,J월드비젼지역아동센터,윤미자,개인,전인갑,구미시 도봉로3길 7-1(봉곡동),054-444-1998,2,25
118,구미시,아동,지역아동센터,고아지역아동센터,권경자,법인,김철호,구미시 고아읍 관심1길 38-21,054-481-0231,3,33
119,구미시,아동,지역아동센터,구미좋은이웃지역아동센터,김자영,법인,이호균,"구미시 형곡로 211-12(형곡동, 3층)",054-463-7273,2,19
120,구미시,아동,지역아동센터,그루터기지역아동센터,박명숙,일반단체,한상일,"구미시 선산읍 단계서길 69, 2층",070-4194-7578,3,40
121,구미시,아동,지역아동센터,꿈과재능지역아동센터,김경옥,개인,오경윤,구미시 봉곡북로9길 24-1(봉곡동),070-8237-7889,2,19
122,구미시,아동,지역아동센터,꿈이있는지역아동센터,박순자,개인,박순자,구미시 산호대로25길 25-24(옥계동),054-471-7226,2,25
123,구미시,아동,지역아동센터,꿈쟁이지역아동센터,김양희,개인,황광웅,구미시 상림로 87 두남빌딩201호,054-462-8076,2,25
124,구미시,아동,지역아동센터,꿈터지역아동센터,최송아,개인,최송아,구미시 인동21길 20(인의동),054-476-2110,2,27
125,구미시,아동,지역아동센터,나눔지역아동센터,정정숙,개인,최성수,구미시 형곡로20길 11-3(형곡동),070-7517-5118,3,35
126,구미시,아동,지역아동센터,다울지역아동센터,이영란,법인,박수현,"구미시 신비로3길 37-13, 3층(신평동)",054-461-7574,2,26
127,구미시,아동,지역아동센터,다평지역아동센터,김삼식,개인,김삼식,구미시 고아읍 선산대로 664,054-454-0253,2,32
128,구미시,아동,지역아동센터,동산지역아동센터,김재호,일반단체,김재호,구미시 고아읍 선산대로 1111-15,054-482-3616,2,13
129,구미시,아동,지역아동센터,목장지역아동센터,지복남,일반단체,남일출,구미시 신시로12길 19(송정동),054-454-5128,3,44
130,구미시,아동,지역아동센터,보리수지역아동센터,김애영,법인,전준호,구미시 선기로2길 14-16(선기동),054-442-6114,2,17
131,구미시,아동,지역아동센터,비산신평지역아동센터,허미경,법인,허미경,구미시 신비로 65(공단동),054-465-0468,2,27
132,구미시,아동,지역아동센터,비타민지역아동센터,류순옥,법인,장해수,구미시 선산읍 선산중앙로16길 16,054-482-2209,2,28
133,구미시,아동,지역아동센터,새길지역아동센터,신영아,법인,김정락,구미시 인동28길 49-8(진평동),054-475-7942,3,45
134,구미시,아동,지역아동센터,새로배움터지역아동센터,조호정,법인,김요나단,구미시 문장로12길 21-4(도량동),054-442-1337,2,27
135,구미시,아동,지역아동센터,새빛지역아동센터,박정화,개인,박정화,"구미시 고아읍 문장로26길 11, 104동 106호(대우아파트)",054-456-4208,2,19
136,구미시,아동,지역아동센터,샘터지역아동센터,남명실,법인,곽병진,구미시 도봉로5안길 11-16(도량동),054-451-5190,3,36
137,구미시,아동,지역아동센터,성모지역아동센터,최은실,법인,최은실,"구미시 인동30길 45, 1층 (진평동, 로얄팰리스)",054-473-1412,3,34
138,구미시,아동,지역아동센터,성은지역아동센터,홍미현,일반단체,문종수,구미시 송동로7길 25-15(도량동),054-444-1191,3,31
139,구미시,아동,지역아동센터,소망열린지역아동센터,심상욱,개인,심진봉,구미시 여헌로 32-27(인의동),054-472-6937,2,18
140,구미시,아동,지역아동센터,송정지역아동센터,오경자,개인,김인순,구미시 송정대로6길 73-1(송정동),054-442-5502,2,26
141,구미시,아동,지역아동센터,아름다운지역아동센터,이경선,개인,이경선,구미시 임은길 11(임은동),054-461-7939,3,32
142,구미시,아동,지역아동센터,양포지역아동센터,박숙자,개인,박숙자,구미시 흥안로2길 6-6(옥계동),054-476-7488,2,29
143,구미시,아동,지역아동센터,열린지역아동센터,조은수,개인,조은수,"구미시 수출대로25길 23, 2층 (황상동)",054-473-9194,3,37
144,구미시,아동,지역아동센터,율곡지역아동센터,임종미,개인,임종미,구미시 비산로5안길 10(비산동),054-465-6612,2,19
145,구미시,아동,지역아동센터,인동지역아동센터,박현주,개인,박재실,구미시 인동중앙로12길 5-4(인의동),054-474-6284,2,28
146,구미시,아동,지역아동센터,인의지역아동센터,여난주,개인,김기현,구미시 인동18길 32-28(진평동),054-473-3096,2,19
147,구미시,아동,지역아동센터,점프지역아동센터,김진수,개인,김진수,구미시 검성로 70-14(인의동),054-476-0200,2,28
148,구미시,아동,지역아동센터,정금지역아동센터,김영규,법인,오혜령,구미시 인동50길 33-8(구평동),054-473-0691,3,35
149,구미시,아동,지역아동센터,주사랑지역아동센터,박헌자,일반단체,박헌자,구미시 개화2길 4-1(도량동),054-451-0391,2,18
150,구미시,아동,지역아동센터,주양교육문화원지역아동센터,임향숙,법인,김성수,구미시 형곡로12길 5-3(형곡동),054-456-3721,2,24
151,구미시,아동,지역아동센터,지혜나무지역아동센타,김홍자,개인,이미애,구미시 봉곡로18길 3(봉곡동),054-444-5580,2,37
152,구미시,아동,지역아동센터,참사랑지역아동센터,권종일,개인,권종일,구미시 선산읍 선산중앙로13길 22,054-481-4563,3,32
153,구미시,아동,지역아동센터,천사지역아동센터,정기용,개인,정기용,"구미시 형곡서로 21-9, 201호(형곡동, 시영상가)",054-451-1004,3,39
154,구미시,아동,지역아동센터,카리스지역아동센터,양정미,개인,양정미,"구미시 고아읍 문장로22길 33, 304동 109호(한누리타운)",070-7554-7976,2,20
155,구미시,아동,지역아동센터,푸른꿈의의나무지역아동센터,권기훈,개인,권문연,구미시 상림로 75  (임은동) ,054-465-1310,2,29
156,구미시,아동,지역아동센터,하늘빛지역아동센터,김옥순,법인,김옥순,구미시 장천면 장군로1,054-475-5980,2,29
157,구미시,아동,지역아동센터,하늘지역아동센터,김지문,개인,김지문,구미시 칠성로2길 39(신평동),054-463-4752,2,27
158,구미시,아동,지역아동센터,한사랑지역아동센터,박경옥,개인,박경옥,구미시 금오대로20길 19(오태동),054-465-2767,2,28
159,구미시,아동,지역아동센터,해평지역아동센터,박미경,법인,이봉도,구미시 해평면 강동로 1697,054-474-5231,2,27
160,구미시,아동,지역아동센터,햇살지역아동센터,이명애,개인,조부돌,"구미시 백산로56, 2층",054-451-2314,2,27
161,구미시,아동,지역아동센터,행복나무지역아동센터,박경상,개인,김동자,구미시 흥안로3길 15(옥계동),070-8101-7942,2,11
162,구미시,아동,지역아동센터,황상지역아동센터,이선숙,법인,김상조,구미시 검성로 103-2(황상동),054-600-5080,2,25
163,구미시,아동,지역아동센터,희망나무지역아동센터,김상배,개인,김상배,구미시 원남로1길 56(원평동),054-453-2112,2,20
164,영주시,아동,지역아동센터,꿈나무지역아동센터,권선경,법인,권혁주,경북 영주시 대학로 130 (가흥동)_영주시종합사회복지관,054-634-5386,2,24
165,영주시,아동,지역아동센터,무지개지역아동센터,강영숙,개인,황상규,경북 영주시 봉현면 노좌로 3,054-637-6236,2,22
166,영주시,아동,지역아동센터,사랑지역아동센터,이인숙,법인,정병대,경북 영주시 안정면 용주로 1397_노인회관2층,054-634-4602,2,19
167,영주시,아동,지역아동센터,꿈동산지역아동센터,신은희,법인,이종훈,풍기읍 기주로 70,054-636-3023,3,32
168,영주시,아동,지역아동센터,희망지역아동센터,유영신,법인,정병대,경북 영주시 원당로147번길 14_(하망동),054-634-4603,2,23
169,영주시,아동,지역아동센터,순흥지역아동센터,임병자,단체,이승필,경북 영주시 순흥면 순흥로 40,054-637-1361,2,21
170,영주시,아동,지역아동센터,행복한홈스쿨지역아동센터,이순복,단체,김용수,경북 영주시 지천로 127 (가흥동),054-638-8645,2,29
171,영주시,아동,지역아동센터,우리아이지역아동센터,금미경,개인,금상희,경북 영주시 구성로 418-4 (영주동),054-635-0979,2,27
172,영주시,아동,지역아동센터,온누리지역아동센터,권혜란,개인,권혜란,경북 영주시 광복로 43-16(영주동),054-633-9464,2,26
173,영주시,아동,지역아동센터,문수지역아동센터,박은주,법인,강성구,경북 영주시 문수면 문수로1406번길 10-3,054-638-1038,2,19
174,영주시,아동,지역아동센터,영주지역아동센터,이용욱,개인,이용욱,경북 영주시 시청로 17번길 14,054-631-1182,2,17
175,영천시,아동,지역아동센터,금호윤성지역아동센터,백정한,법인,김순호,경북 영천시 금호읍 야수골길 9-2,054-333-9622,2,27
176,영천시,아동,지역아동센터,영천시야사지역아동센터,이성일,법인,김순호,경북 영천시 충효로 147(야사동),054-332-8418,3,32
177,영천시,아동,지역아동센터,큰사랑지역아동센터,황경숙,개인,김태진,경북 영천시 망정2길 7-4(망정동),054-331-9634,2,29
178,영천시,아동,지역아동센터,완산지역아동센터,정향순,개인,고재정,경북 영천시 완산로 63-1(완산동),054-331-1114,2,19
179,영천시,아동,지역아동센터,서문지역아동센터,김말선,개인,김말선,경북 영천시 운동장로 40(교촌동),054-331-7270,3,35
180,영천시,아동,지역아동센터,금호꿈동산 지역아동센터,차상수,개인,차상수,"경북 영천시 금호읍 교대용대길 6, 2층",054-337-0153,2,17
181,영천시,아동,지역아동센터,중앙(공립형)지역아동센터,윤경아,법인,유석권,경북 영천시 충효로 9(문내주공아파트),054-331-5939,2,25
182,상주시,아동,지역아동센터,NCC지역아동센터,이현미,개인,이현미,상주시 냉림3길 75,054-534-2046,2,25
183,상주시,아동,지역아동센터,상주아동복지센터,김명자,개인,이재법,"상주시 상산로 178(신봉동,현대아파트) 상가2층",054-533-5621,2,29
184,상주시,아동,지역아동센터,사랑받는지역아동센터,박지연,개인,박지연,상주시 신봉학마루 1길 33(신봉동),054-536-3254,2,26
185,상주시,아동,지역아동센터,포도화동지역아동센터,이혜경,개인,이혜경,상주시 화동면 이소1길 50,054-531-1635,2,25
186,상주시,아동,지역아동센터,다솜지역아동센터,김영희,개인,김영희,"상주시 봉양1길 26, 2층(무양동)",054-536-1634,3,43
187,상주시,아동,지역아동센터,평화지역아동센터,변진영,개인,변진영,상주시 복룡3길 41-12(복룡동),054-536-2453,3,32
188,상주시,아동,지역아동센터,엘림지역아동센터,이드보라,개인,이드보라,상주시 낙동면 영남제일로 125-15,054-533-4552,3,34
189,상주시,아동,지역아동센터,다사랑아동복지센터,김현종,개인,류남주,상주시 함창읍 구향3길 32,054-541-4848,3,37
190,문경시,아동,지역아동센터,꿈나무지역아동센터,엄봉자,개인,김재실,문경시 문경읍 청운로 77,054-571-0342,2,26
191,문경시,아동,지역아동센터,가은지역아동센터,이영숙,개인,이영숙,문경시 가은읍 대야로 2553,054-571-8266,2,26
192,문경시,아동,지역아동센터,영순지역아동센터,안상숙,개인,안상숙,문경읍 영순면 영순로 189,054-553-9981,2,22
193,문경시,아동,지역아동센터,아리솔지역아동센터,오미향,개인,오미향,문경읍 산양면 산양로 109,054-554-1096,2,28
194,문경시,아동,지역아동센터,산북햇살나무지역아동센터,이선희,법인,이기준,문경읍 산북면 한두리 들길 10,070-7769-6966,2,25
195,문경시,아동,지역아동센터,행복나눔지역아동센터,이경미,개인,이경미,문경읍 농암면 청암2길 14,054-571-5640,2,19
196,문경시,아동,지역아동센터,아름다운지역아동센터,김선희,개인,박승남,문경시 돈달로 33(모전동),070-8744-5797,2,27
197,문경시,아동,지역아동센터,누리빛지역아동센터,정성희,개인,정희철,문경시 남부2길 7-0(모전동),054-556-1790,2,19
