시설명,소재지 도로명 주소,정원,현원,종사자수,신고일,면적(제곱미터),전화번호,팩스번호,데이터기준일자
인애,경상북도 포항시 남구 효자로118번길 25  (효자동)  ,19,19,2,2010-12-29,107,054-278-3816 ,054-278-3817,2024-03-28
장기숲,경상북도 포항시 남구 장기면 장기로198번길 21   ,19,13,2,2005-12-05,61,054-276-1562,054-276-1562,2024-03-28
장성,경상북도 포항시 북구 장량로 31  (장성동),29,27,2,2010-11-17,377,054-241-1318,054-614-1319,2024-03-28
제일,경상북도 포항시 북구 동빈로 77(동빈1가),19,18,2,2019-10-01,183,054-254-9696 ,054-254-9697,2024-03-28
참다운,경상북도 포항시 남구 오천읍 냉천로 340번길 35-1,19,18,2,2024-01-01,115,054-274-2029 ,054-274-2039,2024-03-28
참사랑,경상북도 포항시 남구 연일읍 연일로199번길 28 시원한마음상가3층 304호 ,29,22,2,2024-01-01,158,054-242-3888,054-242-3888,2024-03-28
청림좋은이웃,경상북도 포항시 남구 동해안로5932번길 17  (청림동) ,29,23,2,2007-06-25,198,054-293-9123,054-293-9124,2024-03-28
파란,경상북도 포항시 남구 오천읍 원동로 3 메트로프라자 206호,35,35,3,2021-01-30,130,054-274-3435,054-281-3436,2024-03-28
포항,경상북도 포항시 남구 상공로46번길 13  (대도동)  ,19,19,2,2016-01-16,86,054-274-2901 ,054-281-3318,2024-03-28
포항다솜,경상북도 포항시 남구 오천읍 정몽주로616번길 9-2   ,19,18,2,2006-11-28,132,054-291-3535 ,054-291-7158,2024-03-28
포항오천행복한홈스쿨,"경상북도 포항시 남구 오천읍 정몽주로585번길 8,오천교회 예닮교육관 2층",29,25,2,2010-01-05,241,054-293-0205,054-293-0204,2024-03-28
포항덕수,경상북도 포항시 북구 흥해읍 도음로855번길 9-14,19,15,2,2024-01-01,166,054-251-4128,054-251-4129,2024-03-28
포항빛살,경상북도 포항시 남구 축항로 75-1,29,29,2,2024-01-01,315,054-242-3458~9 ,054-231-3459,2024-03-28
포항창포,"경상북도 포항시 북구 새천년대로1075번길 10  (창포동), 창포종합사회복지관 2층",19,15,2,2005-12-13,360,054-246-4410,054-246-4415,2024-03-28
하나,경상북도 포항시 북구 학전로 69-12(두호동),39,35,3,2015-04-14,154,054-241-7110,054-241-7111,2024-03-28
하늘꿈,"경상북도 포항시 북구 흥해읍 흥해로 115번길 13-8,2층",29,27,2,2024-01-01,97,070-8105-3203,054-262-3204,2024-03-28
하늘꿈터,경상북도 포항시 남구 연일읍 철강로25번길 28-1   ,29,24,2,2014-04-23,118,054-285-0879,054-285-0871,2024-03-28
한마음,경상북도 포항시 북구 창흥로36번길 22  (창포동)  ,29,27,2,2022-01-01,126,054-243-0817,054-247-0817,2024-03-28
한울,경상북도 포항시 남구 동해면 일월로41번길 11 ,29,25,2,2005-01-29,151,054-276-4790,054-276-4791,2024-03-28
해도좋은이웃,경상북도 포항시 남구 중앙로 16  (해도동) ,29,22,2,2007-03-16,166,054-282-1393,054-282-1391,2024-03-28
해맑은,"경상북도 포항시 북구 중앙로 212번길 21,3층  (죽도동)",29,22,2,2024-01-01,107,054-274-3253,054-273-3253,2024-03-28
해맞이,"경상북도 포항시 북구 삼호로 388, 3,4층  (환호동)",29,29,2,2010-10-06,167,054-231-3052 ,054-231-3053,2024-03-28
해밀,경상북도 포항시 남구 상공로104번길 36-15  (대도동)  ,29,25,2,2013-10-16,99,054-275-4065,054-275-4064,2024-03-28
해오름,경상북도 포항시 남구 동해면 일월로56번길 48-3   ,29,29,2,2005-01-31,103,054-284-5857,054-272-5857,2024-03-28
현진,"경상북도 포항시 북구 성실로 37, 202호(장성동 현진에버빌1차상가)  ",19,19,2,2021-10-01,355,054-231-1026,054-232-1026,2024-03-28
환여동,경상북도 포항시 북구 삼호로 474-1 (환호동),29,28,2,2013-04-01,149,054-252-1817 ,054-256-8188,2024-03-28
흥해,경상북도 포항시 북구 흥해읍 칠포로 330,19,15,2,2006-05-15,132,054-262-2810,054-262-2588,2024-03-28
